Week #,Away Team,Away Team Points,Away Team Offense Yards,Away Team Turnovers Forced,Home Team,Home Team Points,Home Team Offense Yards,Home Team Turnovers Forced
13,Broncos,27,402,1,Commanders,26,419,1
13,Giants,15,239,0,Patriots,33,395,1
14,Cowboys,30,417,0,Lions,44,408,3
14,Titans,31,292,2,Browns,29,412,1
14,Seahawks,37,365,3,Falcons,9,274,1
14,Colts,19,285,1,Jaguars,36,350,3
14,Commanders,0,206,0,Vikings,31,313,3
14,Bengals,34,338,1,Bills,39,416,2
14,Saints,24,260,1,Buccaneers,20,301,1
14,Steelers,27,318,1,Ravens,22,420,0
14,Dolphins,34,358,3,Jets,10,207,0
14,Broncos,24,356,0,Raiders,17,229,0
14,Rams,45,530,1,Cardinals,17,314,0
14,Bears,21,315,1,Packers,28,337,1
14,Texans,20,368,3,Chiefs,10,274,0
14,Eagles,19,365,3,Chargers,22,275,5
15,Falcons,29,476,1,Buccaneers,28,338,1
15,Ravens,24,317,2,Bengals,0,298,1
15,Raiders,0,75,0,Eagles,31,387,1
15,Cardinals,20,307,0,Texans,40,399,2
15,Chargers,16,298,2,Chiefs,13,239,1
15,Bills,35,349,1,Patriots,31,385,0
15,Jets,20,284,1,Jaguars,48,438,3
15,Commanders,29,340,1,Giants,21,384,2
15,Browns,3,192,0,Bears,31,361,3
15,Panthers,17,281,0,Saints,20,337,1
15,Lions,34,396,1,Rams,41,519,0
15,Colts,16,220,0,Seahawks,18,314,1
15,Packers,26,362,1,Broncos,34,391,2
15,Titans,24,306,1,49ers,37,430,0
15,Vikings,34,327,0,Cowboys,26,423,1
15,Dolphins,15,285,0,Steelers,28,336,1
16,Rams,37,581,3,Seahawks,38,415,0
16,Eagles,29,385,1,Commanders,18,220,1
16,Packers,16,384,0,Bears,22,400,1
16,Chargers,34,452,1,Cowboys,17,340,0
16,Vikings,16,240,1,Giants,13,141,2
16,Bengals,45,407,3,Dolphins,21,389,0
16,Buccaneers,20,296,0,Panthers,23,275,1
16,Jets,6,195,1,Saints,29,412,2
16,Bills,23,259,2,Browns,20,294,0
16,Chiefs,9,133,0,Titans,26,376,0
16,Jaguars,34,346,2,Broncos,20,445,0
16,Falcons,26,342,1,Cardinals,19,320,2
16,Raiders,21,315,0,Texans,23,270,1
16,Steelers,29,481,0,Lions,24,361,1
16,Patriots,28,453,2,Ravens,24,330,2
16,49ers,48,440,2,Colts,27,312,1
17,Cowboys,30,480,0,Commanders,23,328,0
17,Lions,10,231,0,Vikings,23,161,6
17,Broncos,20,303,0,Chiefs,13,139,1
17,Texans,20,362,1,Chargers,16,275,2
17,Ravens,41,414,2,Packers,24,363,0
17,Buccaneers,17,380,0,Dolphins,20,398,3
17,Patriots,42,440,1,Jets,10,307,0
17,Steelers,6,291,2,Browns,13,262,0
17,Jaguars,23,370,2,Colts,17,204,2
17,Saints,34,423,1,Titans,26,336,1
17,Seahawks,27,288,2,Panthers,10,139,2
17,Cardinals,14,233,0,Bengals,37,429,0
17,Giants,34,343,2,Raiders,10,231,0
17,Eagles,13,190,1,Bills,12,331,0
17,Bears,38,440,1,49ers,42,496,0
17,Rams,24,363,0,Falcons,27,345,3
18,Panthers,14,285,1,Buccaneers,16,338,3
18,Seahawks,13,361,1,49ers,3,173,0
18,Colts,30,354,0,Texans,38,339,3
18,Browns,20,200,2,Bengals,18,364,1
18,Saints,17,340,1,Falcons,19,208,2
18,Packers,3,121,1,Vikings,16,363,0
18,Titans,7,194,0,Jaguars,41,319,1
18,Cowboys,17,286,1,Giants,34,380,2
18,Cardinals,20,317,0,Rams,37,395,2
18,Chiefs,12,168,2,Raiders,14,204,2
18,Commanders,24,274,1,Eagles,17,307,2
18,Dolphins,10,180,0,Patriots,38,457,2
18,Lions,19,433,1,Bears,16,270,1
18,Chargers,3,217,0,Broncos,19,240,2
18,Jets,8,122,0,Bills,35,470,0
18,Ravens,24,359,0,Steelers,26,390,1
